Words, Inverted Index 
come, 2, 3, 4, 5, 7, 8, 9, 13, 15, 16, 22, 23, 24, 25, 28, 31, 32, 35, 36, 37, 38, 40, 45, 47, 49 
leave, 2, 4, 9, 11, 12, 13, 16, 17, 19, 20, 23, 24, 26, 28, 29, 30, 31, 32, 37, 38, 39, 40, 42, 43, 46 
come AND leave, 2, 4, 9, 13, 16, 23, 24, 28, 31, 32, 37, 38, 40 
come OR leave, 2, 3, 4, 5, 7, 8, 9, 11, 12, 13, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 35, 36, 37, 38, 39, 40, 42, 43, 45, 46 
NOT come, 1, 6, 10, 11, 12, 14, 17, 18, 19, 20, 21, 26, 27, 29, 30, 33, 34, 39, 41, 42, 43, 44, 46, 48, 50 
NOT leave, 1, 3, 5, 6, 7, 8, 10, 14, 15, 18, 21, 22, 25, 27, 33, 34, 35, 36, 41, 44, 45, 47, 48, 49, 50 
