Words, Inverted Index 
one, 1, 2, 13, 14, 15, 16, 19, 22, 23, 24, 25, 26, 29, 30, 31, 32, 33, 36, 38, 45, 48 
wish, 32, 1, 4, 16, 50 
dark, 1, 3, 7, 8, 48 
tree, 1, 2, 3, 5, 6, 10, 12, 16, 18, 20, 26, 27, 29, 32, 33, 38, 40, 42, 43, 48, 49, 50 
old, 1, 2, 34, 38, 13, 14, 47, 50, 23 
firm, 1 
scar, 1, 12 
show, 32, 1 
breeze, 1, 8, 18, 20, 30 
were, 1 
mere, 1, 25 
mask, 1 
gloom, 1, 39, 11, 13, 15 
stretch, 1 
away, 1, 2, 3, 7, 8, 10, 11, 15, 16, 21, 22, 23, 25, 28, 29, 32, 34, 35, 46, 47, 49, 50 
unto, 1, 15 
edge, 16, 1 
doom, 1 
withhold, 1 
day, 1, 34, 3, 36, 35, 38, 7, 39, 10, 11, 43, 16, 50, 23, 24, 25, 28, 29, 30 
vast, 1 
steal, 1 
fearless, 1 
ever, 1, 2, 34, 43, 13, 22, 23, 31 
find, 1, 35, 37, 39, 8, 9, 44, 14, 20, 21, 22, 23, 24, 25, 30 
open, 1, 4, 42, 13, 22 
land, 1, 23, 25, 28, 29, 30 
highway, 1, 38, 31 
slow, 1, 2, 29, 41 
wheel, 1, 44 
pour, 1 
sand, 1, 39 
see, 1, 3, 4, 37, 36, 39, 40, 43, 47, 16, 18, 23, 25, 26, 27, 30 
who, 1, 3, 15, 50, 19 
e, 1 
er, 1, 2, 6, 9, 22, 30 
turn, 1, 4, 36, 9, 13, 18, 22 
back, 1, 2, 33, 39, 45, 14, 15, 28 
set, 1, 49, 18, 50, 22 
forth, 1, 4, 5, 50, 22, 23, 24, 28 
upon, 1, 33, 37, 8, 43, 14, 22, 30 
track, 1 
overtake, 1 
miss, 1, 12 
long, 1, 37, 11, 15, 16, 19, 23, 24, 27, 30 
know, 1, 2, 3, 4, 8, 11, 13, 15, 18, 19, 20, 25, 26, 29, 30, 32, 33, 38, 43, 47, 50 
still, 1, 33, 35, 7, 41, 10, 12, 44, 47, 16, 18, 20, 22, 24, 31 
hold, 32, 1, 35, 14, 49, 22, 23 
dear, 1 
