Bigrams, Inverted Index 
In, 1, 7, 28, 50, 52, 64, 65, 69, 146, 167, 169, 186, 223, 246, 248, 261, 266, 267, 271, 281, 287, 296, 306, 313, 315, 326, 328, 337, 358, 384, 396, 452, 486, 563, 644, 671, 698, 706, 721, 804, 812, 835, 848, 866, 881, 922, 927, 931, 951, 974, 984, 1004, 1007 
nd, 1, 7, 21, 27, 28, 38, 50, 52, 57, 59, 63, 64, 65, 69, 80, 134, 146, 162, 167, 168, 169, 186, 195, 212, 214, 220, 223, 246, 248, 253, 257, 261, 266, 267, 271, 278, 281, 287, 296, 306, 307, 308, 309, 313, 315, 326, 328, 337, 355, 358, 384, 396, 398, 432, 452, 467, 486, 490, 508, 536, 563, 633, 644, 645, 671, 675, 688, 698, 706, 721, 726, 734, 742, 750, 762, 764, 771, 804, 807, 812, 835, 836, 848, 853, 859, 866, 881, 885, 922, 927, 931, 951, 974, 984, 987, 1004, 1007 
di, 1, 7, 28, 50, 52, 56, 65, 111, 120, 122, 146, 167, 169, 186, 214, 220, 223, 240, 246, 266, 281, 287, 294, 296, 306, 313, 315, 326, 328, 337, 358, 360, 396, 438, 467, 486, 490, 504, 506, 531, 563, 576, 608, 644, 651, 653, 671, 698, 701, 706, 708, 716, 784, 793, 804, 812, 835, 848, 861, 866, 881, 893, 912, 922, 927, 930, 931, 951, 962, 979, 984, 987, 993, 994, 1004, 1007 
ia, 1, 7, 14, 28, 31, 50, 52, 64, 65, 79, 83, 110, 114, 115, 146, 167, 169, 186, 195, 223, 227, 246, 251, 266, 281, 282, 287, 289, 296, 306, 311, 313, 315, 326, 328, 337, 345, 358, 391, 396, 431, 435, 445, 486, 551, 563, 570, 614, 642, 644, 647, 671, 698, 706, 804, 812, 835, 846, 848, 861, 864, 866, 875, 877, 881, 892, 908, 922, 927, 931, 951, 956, 984, 1004, 1007 
a, 1, 7, 10, 14, 18, 32, 43, 52, 55, 64, 99, 100, 110, 112, 131, 146, 161, 167, 186, 223, 246, 281, 293, 306, 313, 315, 326, 328, 337, 345, 361, 364, 391, 396, 402, 403, 486, 543, 547, 548, 558, 563, 582, 613, 620, 629, 642, 644, 658, 717, 729, 737, 804, 835, 846, 861, 864, 865, 908, 922, 927, 951, 956, 984, 988, 1004 
IS, 2, 8 
SO, 2, 8 
O, 2, 8 
Bh, 3, 9, 45, 274, 275, 293, 361 
hā, 3, 9, 275 
ār, 3, 9, 275 
ra, 3, 9, 25, 31, 84, 112, 131, 217, 224, 233, 269, 272, 274, 275, 293, 294, 350, 365, 375, 376, 382, 402, 403, 412, 415, 416, 422, 450, 454, 461, 499, 503, 504, 543, 549, 559, 576, 599, 622, 631, 635, 666, 678, 695, 715, 768, 776, 784, 872, 883, 891, 899, 906, 925, 946, 955, 960, 966, 979, 988, 990, 993 
at, 3, 9, 71, 79, 84, 96, 102, 128, 154, 157, 160, 161, 204, 209, 222, 230, 244, 249, 260, 269, 274, 275, 289, 290, 293, 304, 346, 368, 386, 409, 431, 454, 460, 470, 475, 484, 490, 495, 501, 505, 513, 520, 527, 549, 570, 585, 599, 614, 622, 647, 653, 660, 661, 666, 667, 670, 678, 689, 695, 702, 725, 728, 733, 736, 741, 744, 758, 778, 800, 803, 817, 820, 838, 877, 883, 905, 917, 918, 933, 940, 943, 949, 952, 960, 972, 978, 998 
t, 3, 9, 16, 33, 36, 41, 46, 49, 66, 77, 88, 109, 142, 145, 154, 155, 164, 173, 177, 182, 189, 213, 254, 255, 263, 274, 275, 277, 297, 336, 340, 353, 359, 373, 387, 421, 429, 437, 455, 457, 503, 536, 590, 592, 598, 610, 619, 639, 641, 679, 682, 694, 704, 797, 808, 811, 820, 836, 843, 845, 855, 874, 884, 896, 900, 914, 929, 935, 936, 939, 954, 970 
al, 4, 35, 44, 56, 70, 83, 95, 111, 137, 154, 174, 195, 200, 203, 206, 210, 224, 233, 234, 238, 254, 258, 259, 272, 282, 291, 294, 316, 371, 376, 381, 382, 385, 404, 423, 436, 446, 450, 476, 483, 493, 512, 551, 559, 567, 571, 577, 625, 647, 680, 683, 693, 708, 713, 715, 729, 737, 739, 740, 745, 768, 776, 784, 792, 798, 813, 815, 822, 850, 864, 891, 898, 913, 955, 981 
ls, 4, 238, 316, 371, 446, 625, 944 
so, 4, 30, 33, 36, 79, 96, 129, 237, 238, 278, 309, 431, 446, 520, 551, 595, 628, 727, 732, 743, 747, 754, 781, 869, 880, 962, 1008 
o, 4, 238, 348, 400, 401, 446, 452, 534, 721, 974 
kn, 5, 341, 524, 605 
no, 5, 46, 125, 133, 163, 164, 170, 174, 184, 192, 276, 325, 335, 341, 456, 467, 517, 524, 530, 601, 605, 700, 777, 783, 825, 837, 893, 909, 937, 977, 987, 997 
ow, 5, 75, 152, 179, 181, 190, 197, 211, 341, 524, 550, 605, 685, 696, 775, 791, 829 
wn, 5, 152, 341, 524, 605, 829 
n, 5, 19, 28, 29, 31, 40, 45, 50, 51, 57, 65, 68, 71, 81, 84, 121, 152, 169, 202, 203, 231, 251, 260, 278, 280, 287, 290, 296, 307, 308, 309, 311, 323, 325, 327, 335, 341, 342, 351, 358, 368, 372, 381, 386, 388, 394, 395, 404, 409, 413, 425, 441, 444, 453, 454, 474, 484, 487, 501, 516, 518, 524, 527, 530, 566, 570, 587, 603, 605, 614, 628, 637, 649, 653, 654, 663, 666, 667, 671, 677, 681, 691, 698, 706, 723, 731, 748, 766, 779, 783, 790, 809, 812, 832, 838, 848, 856, 866, 872, 881, 892, 904, 906, 910, 931, 937, 940, 952, 960, 964, 969, 993, 995, 1007 
Re, 6 
ep, 6, 44, 168, 225, 536, 553, 593, 599, 905, 943, 944 
pu, 6, 22, 24, 178, 205, 225, 471, 611, 940, 944 
ub, 6, 66, 142, 205, 225, 297, 359, 408, 421, 455, 592, 611, 653, 811, 826, 939, 970 
bl, 6, 205, 225, 572, 611, 757, 914 
